"source","hits","tokens","total","year","textid","genre","simplified_genre","relative_frequency"
"1661.indiafari.bio-tra.psd",22,22,1388,1661,"indiafari","bio-tra","bio",1.5850144092219
"1400.viglundur.nar-sag.psd",2,2,1290,1400,"viglundur","nar-sag","nar",0.155038759689922
"1985.margsaga.nar-fic.psd",16,16,1705,1985,"margsaga","nar-fic","nar",0.93841642228739
"1593.eintal.rel-oth.psd",6,6,1553,1593,"eintal","rel-oth","rel",0.386349001931745
"1325.arni.nar-sag.psd",4,4,1125,1325,"arni","nar-sag","nar",0.355555555555556
"1861.orrusta.nar-fic.psd",13,13,1804,1861,"orrusta","nar-fic","nar",0.720620842572062
"1270.gragas.law-law.psd",0,0,346,1270,"gragas","law-law","law",0
"1830.hellismenn.nar-sag.psd",1,1,1411,1830,"hellismenn","nar-sag","nar",0.070871722182849
"1480.jarlmann.nar-sag.psd",5,5,1282,1480,"jarlmann","nar-sag","nar",0.390015600624025
"1540.ntacts.rel-bib.psd",37,37,1183,1540,"ntacts","rel-bib","rel",3.12764158918005
"1675.magnus.bio-oth.psd",6,6,204,1675,"magnus","bio-oth","bio",2.94117647058824
"1250.thetubrot.nar-sag.psd",0,0,246,1250,"thetubrot","nar-sag","nar",0
"1525.erasmus.nar-sag.psd",5,5,462,1525,"erasmus","nar-sag","nar",1.08225108225108
"1611.okur.rel-oth.psd",22,22,629,1611,"okur","rel-oth","rel",3.49761526232114
"1902.fossar.nar-fic.psd",9,9,1659,1902,"fossar","nar-fic","nar",0.54249547920434
"1985.sagan.nar-fic.psd",33,33,2031,1985,"sagan","nar-fic","nar",1.62481536189069
"1659.pislarsaga.bio-aut.psd",18,18,324,1659,"pislarsaga","bio-aut","bio",5.55555555555556
"1791.jonsteingrims.bio-aut.psd",9,9,1518,1791,"jonsteingrims","bio-aut","bio",0.592885375494071
"1400.gunnar.nar-sag.psd",1,1,935,1400,"gunnar","nar-sag","nar",0.106951871657754
"1630.gerhard.rel-oth.psd",5,5,701,1630,"gerhard","rel-oth","rel",0.713266761768902
"1790.fimmbraedra.nar-sag.psd",5,5,1602,1790,"fimmbraedra","nar-sag","nar",0.31210986267166
"1450.bandamenn.nar-sag.psd",0,0,1034,1450,"bandamenn","nar-sag","nar",0
"1907.leysing.nar-fic.psd",14,14,1521,1907,"leysing","nar-fic","nar",0.920447074293228
"1475.aevintyri.nar-rel.psd",38,38,1201,1475,"aevintyri","nar-rel","nar",3.16402997502082
"1675.armann.nar-fic.psd",6,6,1018,1675,"armann","nar-fic","nar",0.589390962671906
"1450.vilhjalmur.nar-sag.psd",9,9,2414,1450,"vilhjalmur","nar-sag","nar",0.372825186412593
"1150.homiliubok.rel-ser.psd",7,7,2108,1150,"homiliubok","rel-ser","rel",0.332068311195446
"1675.modars.nar-fic.psd",1,1,373,1675,"modars","nar-fic","nar",0.268096514745308
"1210.jartein.rel-sag.psd",4,4,823,1210,"jartein","rel-sag","rel",0.486026731470231
"1310.grettir.nar-sag.psd",0,0,2057,1310,"grettir","nar-sag","nar",0
"1908.ofurefli.nar-fic.psd",8,8,1743,1908,"ofurefli","nar-fic","nar",0.458978772231784
"1300.alexander.nar-sag.psd",4,4,1383,1300,"alexander","nar-sag","nar",0.289226319595083
"1720.vidalin.rel-ser.psd",9,9,1112,1720,"vidalin","rel-ser","rel",0.809352517985611
"1525.georgius.nar-rel.psd",16,16,1060,1525,"georgius","nar-rel","nar",1.50943396226415
"1920.arin.rel-ser.psd",5,5,1149,1920,"arin","rel-ser","rel",0.435161009573542
"2008.mamma.nar-fic.psd",22,22,1845,2008,"mamma","nar-fic","nar",1.19241192411924
"1888.vordraumur.nar-fic.psd",9,9,759,1888,"vordraumur","nar-fic","nar",1.18577075098814
"1150.firstgrammar.sci-lin.psd",0,0,182,1150,"firstgrammar","sci-lin","sci",0
"1859.hugvekjur.rel-ser.psd",3,3,1110,1859,"hugvekjur","rel-ser","rel",0.27027027027027
"1260.jomsvikingar.nar-sag.psd",0,0,1532,1260,"jomsvikingar","nar-sag","nar",0
"1888.grimur.nar-fic.psd",15,15,625,1888,"grimur","nar-fic","nar",2.4
"1725.biskupasogur.nar-rel.psd",7,7,1105,1725,"biskupasogur","nar-rel","nar",0.633484162895928
"1450.ectorssaga.nar-sag.psd",111,111,1950,1450,"ectorssaga","nar-sag","nar",5.69230769230769
"1650.illugi.nar-sag.psd",1,1,1929,1650,"illugi","nar-sag","nar",0.0518403317781234
"1400.gunnar2.nar-sag.psd",0,0,340,1400,"gunnar2","nar-sag","nar",0
"1835.jonasedli.sci-nat.psd",1,1,161,1835,"jonasedli","sci-nat","sci",0.62111801242236
"1210.thorlakur.rel-sag.psd",3,3,540,1210,"thorlakur","rel-sag","rel",0.555555555555556
"1540.ntjohn.rel-bib.psd",25,25,1685,1540,"ntjohn","rel-bib","rel",1.48367952522255
"1450.judit.rel-bib.psd",2,2,491,1450,"judit","rel-bib","rel",0.407331975560081
"1250.sturlunga.nar-sag.psd",1,1,2225,1250,"sturlunga","nar-sag","nar",0.0449438202247191
