"century","Clause","YEAR","GENRE","Tense","count"
17,"Main",1630,"REL-OTH","PRES",1
17,"Subordinate",1628,"BIO-TRA","PRES",1
17,"Subordinate",1630,"REL-OTH","PRES",2
17,"Subordinate",1630,"REL-OTH","PRES-SBJ",1
17,"Subordinate",1659,"BIO-AUT","PST",1
17,"Subordinate",1661,"BIO-TRA","PST",1
17,"Subordinate",1680,"NAR-REL","PST",2
18,"Main",1791,"BIO-AUT","PRES",1
18,"Main",1791,"BIO-AUT","PST",5
18,"Subordinate",1745,"NAR-FIC","PRES",2
18,"Subordinate",1745,"NAR-FIC","PST",9
18,"Subordinate",1745,"NAR-FIC","PST-SBJ",1
18,"Subordinate",1790,"NAR-SAG","PST",1
18,"Subordinate",1790,"NAR-SAG","PST-SBJ",1
18,"Subordinate",1791,"BIO-AUT","PST",3
19,"Main",1850,"NAR-FIC","FUT",1
19,"Main",1850,"NAR-FIC","PRES",2
19,"Main",1850,"NAR-FIC","PST",1
19,"Main",1859,"REL-SER","PRES",1
19,"Main",1859,"REL-SER","PST",5
19,"Main",1861,"NAR-FIC","PRES",2
19,"Main",1861,"NAR-FIC","PST",2
19,"Main",1882,"NAR-FIC","PRES",3
19,"Main",1882,"NAR-FIC","PST",4
19,"Main",1888,"NAR-FIC","PRES",1
19,"Main",1888,"NAR-FIC","PST",1
19,"Subordinate",1850,"NAR-FIC","PRES-SBJ",1
19,"Subordinate",1850,"NAR-FIC","PST",2
19,"Subordinate",1850,"NAR-FIC","PST-SBJ",1
19,"Subordinate",1859,"REL-SER","PRES",1
19,"Subordinate",1859,"REL-SER","PST",1
19,"Subordinate",1861,"NAR-FIC","PRES-SBJ",1
19,"Subordinate",1861,"NAR-FIC","PST",1
19,"Subordinate",1882,"NAR-FIC","PST",1
19,"Subordinate",1883,"NAR-FIC","PST",1
19,"Subordinate",1888,"NAR-FIC","PRES",2
19,"Subordinate",1888,"NAR-FIC","PST",10
20,"Main",1902,"NAR-FIC","PRES",3
20,"Main",1902,"NAR-FIC","PST",6
20,"Main",1907,"NAR-FIC","PRES",1
20,"Main",1907,"NAR-FIC","PST",9
20,"Main",1908,"NAR-FIC","PRES",1
20,"Main",1908,"NAR-FIC","PST",1
20,"Main",1985,"NAR-FIC","PRES",7
20,"Main",1985,"NAR-FIC","PST",7
20,"Subordinate",1902,"NAR-FIC","PRES",1
20,"Subordinate",1902,"NAR-FIC","PST",2
20,"Subordinate",1907,"NAR-FIC","PST",2
20,"Subordinate",1908,"NAR-FIC","PST",1
20,"Subordinate",1908,"NAR-FIC","PST-SBJ",2
20,"Subordinate",1985,"NAR-FIC","PRES",4
20,"Subordinate",1985,"NAR-FIC","PST",5
21,"Main",2008,"NAR-FIC","PRES",2
21,"Main",2008,"NAR-FIC","PST",1
21,"Main",2008,"NAR-FIC","PST-SBJ",1
21,"Main",2008,"NAR-FIC","Compound",1
21,"Main",2008,"NAR-SAG","PRES",7
21,"Main",2008,"NAR-SAG","PST",4
21,"Main",2019,"","PRES",17
21,"Main",2019,"","PST",4
21,"Subordinate",2008,"NAR-FIC","PRES",1
21,"Subordinate",2008,"NAR-FIC","PST",3
21,"Subordinate",2008,"NAR-SAG","PRES",2
21,"Subordinate",2008,"NAR-SAG","PST-SBJ",1
21,"Subordinate",2019,"","INF",1
21,"Subordinate",2019,"","PRES",5
21,"Subordinate",2019,"","PRES-SBJ",3
21,"Subordinate",2019,"","PST",1
