Sub_Before,Tense,Complement,Reading,left,buinn,right,source,year
No,,CONJ,svo búið,"ráð að þeir bræður leiti."" Reið Þorbjörn heim aftur við svo",búið,"og talar við sonu sína að þeir leiti fjárins. Þórður segir: ""Skeggi frændi m",(b_snae),
No,,CONJ,Fixed,"Mel með feng sinn og gerist brátt hollur Oddi, sýslar vel um",búið,og vinnur sem tveir aðrir. Oddi líkar vel við hann. Líða þau misseri og er v,(band),1280
No,,CONJ,Fixed,". Gekk þá Oddur þar að svo talandi: ""Hér er nú vandlega borð",búið,og svo sem hinum kærustu vinum vorum. Þessa veislu gef eg alla Frey að hann,(brandk),
No,,CONJ,Fixed,n vetur. En að vori hafði Þorbjörn vinaboð og var veisla góð,búin,og kom þar margt manna og var veislan hin besta. Og að veislunni kvaddi Þorb,(eirik),1274
No,,CONJ,Live,er bjó á Fróðá. Hann var sonur Orms hins mjóva er þar hafði,búið,"og numið Fróðárland. Þuríði, dóttur Ásbrands frá Kambi úr Breiðavík, hafði h",(eyrbygg),1255
No,,CONJ,vel búið,"rið þið með ykkru máli."" Hann gaf Þorsteini sverð harðla vel",búið,og hinn besta grip en Þóri fingurgull er vó eyri og kvað Hákon jarl hafa gef,(finnboga),1312.5
No,,CONJ,svo búið,r að honum mundi það eigi vel gefast. Reið hann heim við svo,búið,og er heima þau misseri. Og er leið fram að vorþingi þá reið Ásbjörn ofan í,(fljotsd),1510
No,,CONJ,Fixed,"mágur,"" sagði hann, ""svo að eg sé gjörla að engu er nýtt til",búið,og er betur að niður falli því að svo hafa farið skipti ykkur að þú hefir va,(floam),1320
No,,CONJ,Fixed,"ir: ""Kunnig eru mér svo lög mágur að eg veit að rangt er til",búið,og eru þau ein málaefni með ykkur Ásgrími að best er að niður falli. Hafa sv,(floam),1320
No,,CONJ,svo búið,"un fá þér annað vopn það er gott er."" Nú skilja þeir við svo",búið,og fer Þorgils aftur til Bjarnar. Nú er þar til að taka að Björn saknar Þorg,(floam),1320
No,,CONJ,svo búið,"ngríms, en kvað þó ekki mundu af þessu verða. Skilja við svo",búið,og fara heim. 15. kafli Litlu eftir þetta fer Þorkell heiman við annan mann,(fsaga),
No,PRS,CONJ,,tug manna og Guðríði konu sína og sigla í haf þegar þau eru,búin,og úr landsýn. Þau velkti úti allt sumarið og vissu eigi hvar þau fóru. Og e,(graens),1200
No,,CONJ,svo búið,þekktarsvip. Nú er ekki að dyljast við að mér líkar eigi svo,búið,"og eg kalla þig eiðrofa ef kyrrt er."" Einar svarar: ""Eigi er þetta vel gert",(graent),
No,,CONJ,Fixed,er nú skyldi eigi skírslan fram fara svo sem nú var allt til,búið,"og mun eigi hægt að gera við ógæfu þinni."" Grettir svarar: ""Það hafði eg ætl",(grettir),1315
No,,CONJ,svo búið,á einn gilsþröm þar skammt ofan frá sér og fóru heim við svo,búið,og sögðu bónda þenna atburð. Hann spurði hvað Glámi mundi hafa að bana orðið,(grettir),1315
No,,CONJ,svo búið,"heitum, en Grettir neitti öllu og fóru bændur á burt við svo",búið,og undu illa við sinn hlut. Sögðu þeir héraðsmönnum hver vargur kominn var í,(grettir),1315
No,,CONJ,svo búið,"illt um gengi nema heiman hafi."" Ríður Þórir í brott við svo",búið,og Helgi með honum og fer heim og unir illa við. 7. kafli Þorvaldur son Tung,(haensna),1280
No,,CONJ,Fixed,"Bera þeir nú líkin saman í kös þar í túninu, skiljast við so",búið,og hraða sér í burtu. Var þetta á lítilli stundu gjört. Lýsa víginu á næsta,(heidarv),1212.5
No,,CONJ,Fixed,"Hún kallar eftir honum: ""Lát vera nú svo búið sem eg hefi um",búið,"og vættir mig að þá mun hlýða."" 24. kafli Nú er hann kemur til liðs síns þá",(heidarv),1212.5
No,,CONJ,svo búið,Sér hann þar áorkast ekki í þetta sinn. Snýr hann frá við so,búið,og fer vestur leið sína. Nú líður að alþingi. Stýrimaður einn var um veturin,(heidarv),1212.5
No,,CONJ,svo búið,sín í milli meðan sú stefna væri. Og fóru þeir aftur við svo,búið,og segja Guðbrandi og Þórði að grið voru sett. Konungur fór þá til bæjar þes,(heimskringla),1230
No,,CONJ,svo búið,eir Ásmundur það með sér. Komu húskarlar Háreks heim við svo,búið,"og segja Háreki frá ferð sinni. Hann svarar: ""Tíðindi þykja nýnæmi öll. Þett",(heimskringla),1230
No,,CONJ,svo búið,kipt var seglunum. Fóru þeir Ásbjörn brott leið sína við svo,búið,og stefndi hann þá norður með landi og létti eigi fyrr en hann kom heim í ön,(heimskringla),1230
No,,CONJ,svo búið,"þeim þætti best til fallinn, og skildust á því þingi við svo",búið,og urðu engar utanferðir á því sumri. En Þórarinn fór tvívegis um sumarið og,(heimskringla),1230
No,,CONJ,svo búið,og gera þá orð Haraldi konungi. Fór Grjótgarður heim við svo,búið,og þá gjafir góðar af konungi. Dauði Sigurðar jarls Sigurður jarl fór um hau,(heimskringla),1230
No,,CONJ,Fixed,onungur upp og gekk út með þeim Birni. Þá tók hann upp sverð,búið,"og fingurgull og seldi Birni. ""Sverð þetta gef eg þér. Það gaf mér í sumar R",(heimskringla),1230
No,,CONJ,Fixed,aurugt var báru hirðmenn hann á herðum sér. Hásæti var honum,búið,og hann sat á haugi sem konungar og bjó í Eyjunni innri og hafði aðsetu þar,(heimskringla),1230
No,,CONJ,Fixed,g komið sér þar í vináttu þá þóttist hann þar eiga vel fyrir,búið,og vissi að þar mundu margir flutningamenn um hans mál en þó vænti hann að f,(heimskringla),1230
No,PST,CONJ,,auð til sín höfðingjum og öðrum stórbóndum. En er veisla var,búin,og boðsmenn höfðu til sótt þá var þar hið fyrsta kveld veisla fögur og veitt,(heimskringla),1230
No,,CONJ,svo búið,fund Árna Árnasonar bróður síns og segir honum þetta mál svo,búið,"og bað hann fara með sér til konungs. Árni segir: ""Undarlegt þykir mér um þi",(heimskringla),1230
No,,CONJ,svo búið,þá var hver þeirra sleginn límahögg. Fóru þeir brott við svo,búið,og heim aftur í Noreg en Markamenn allir snerust þá aftur undir Inga konung.,(heimskringla),1230
No,,CONJ,svo búið,ggja og sagði þá vera litla í skapi. Reið Sámur heim við svo,búið,"og bjó þar til elli. Fékk hann aldrei uppreist móti Hrafnkeli, meðan hann li",(hrafnkatla),
No,,CONJ,svo búið,i halda og skilja þeir Eyvindur og Haraldur konungur við svo,búið,og líkar konungi illa. Og er þeir hittast Magnús konungur og Hreiðar fréttir,(hreidar),
No,,CONJ,svo búið,"na, og varð Katli ekki mein að því, og fór hann heim við svo",búið,"og sat nú um kyrrt nokkura hríð. Þessu næst kom við Hrafnistu Framarr, víkin",(ketill_h),
No,,CONJ,Fixed,i var fjölmennt fyrir í fljóða sal; stóð hjá kvendum kerlaug,búin,"og hagleg hjá hvíla tjölduð. Gengu þá ljósar í laug konur, var fljóða flokku",(kotludraumur),
No,,CONJ,Fixed,"hann Eysteinn: ""Fyrir það er þú fórst með mér frá skipi þínu",búnu,"og sóttir hingað heimili, þigg að mér kyrtil þenna."" Hann var allur hlöðum b",(krakunef),
No,,CONJ,Fixed,"gði til Þrumu og brenndi Þórorm inni og hjú hans öll, en hjó",búið,og rænti öllu lausafé. Eftir það fór hann til Íslands og Þorgeir bróðir hans,(landnama),
No,,CONJ,Fixed,nungur Ólafi til skips og gaf honum spjót gullrekið og sverð,búið,og mikið fé annað. Ólafur beiddist að flytja fóstru Melkorku á brott með sér,(laxdal),1250
No,,CONJ,svo búið,að vera á Höskuldsstöðum. Ríður Höskuldur nú í brott við svo,búið,og heim til bús síns og er nú heima til þess er boð þetta skyldi vera. Sækir,(laxdal),1250
No,,CONJ,vel búið,"r förin góð svo búið."" Atli svarar: ""Eg býð þér tíu menn vel",búna,"og far aftur og legg eigi menn þína í hættu."" 24. kafli Síðan riðu þeir Eyjó",(ljosvetn),1220
