corpus,match_position,left context,match,right_context,text_wordcount,chapter_n,text_titill,text_paragraphcount,text_ritstjorar,text_utgefandi,text_sentencecount,text_rit,text_utgafuar,
Fljótdæla saga,11857,Gróa gekk þá inn og kom út með svo mikið fé sem vant,er að bæta,þræla .,27278,12,Fljótsdæla saga,527,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2010,Íslendingasögur I,1985,
Heiðarvíga saga,8416,Þá mælti Þorgautur : « Ráðlegra,er að bíða,meira liðs .,12941,30,Heiðarvíga saga,299,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,868,Íslendingasögur II,1986,
Sturlunga,219637,Hrafn kvað lítils vert um lönd þau ef þeir felldu saman vináttu sína : « Mun Þorgils hljóta af vináttu við Gissur ekki nema skömm og skaða svo sem aðrir Sturlungar og eigi víst hvort alllangt,er að bíða,. »,260587,389,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Ljósvetninga saga (C-gerð),3276,Einar mælti : « Koma mun eg orðum þeim er Sörli lagði fyrir mig sem,er að biðja,Þórdísar dóttur þinnar . »,27557,5,Ljósvetninga saga - C-gerð,1057,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,2026,Íslendingasögur II,1986,
Íslendinga þættir,17483,En allir megum vér það sjá hversu mikið vandkvæði,er að bindast,við mál þetta að sá veðsetur sig og fé sitt .,110609,4,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
Brennu-Njáls saga,22680,"Atli mælti : « Það átt þú eftir er erfiðast er , en það",er að deyja,. »,98938,37,Brennu-Njáls saga,3276,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,7275,Íslendingasögur I,1985,
Flóamanna saga,6104,Jarl mælti : « Betra,er að deyja,virðulega en lifa skammsamlega . »,22418,15,Flóamanna saga,553,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1725,Íslendingasögur I,1985,
Sturlunga,99635,Og nú,er að dró,stefnudeginum söfnuðu hvorirtveggju liði .,260587,189,Sturlunga,6002,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Gísli Sigurðsson|Guðrún Ása Grímsdóttir|Guðrún Ingólfsdóttir|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,17600,Sturlunga saga,1988,
Heimskringla,101163,"Eigi þurfið þér að hræðast Noregskonung eða Danakonung og engan annan meðan Svíaher vill fylgja yður en ef landsfólkið snýst á hendur yður með einu samþykki þá sjáum vér vinir yðrir eigi ráð til , þau er víst",er að duga,muni . »,231502,94,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Víga-Glúms saga,17623,Glúmur segir : « Eigi,er að dylja,"þessa vinur , þú veittir honum banasárið .",19117,23,Víga-Glúms saga,595,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,1222,Íslendingasögur II,1986,
Heimskringla,199145,Haraldur konungur Sigurðarson mælti þá : « Tökum nú nokkuð gott ráð og viturlegt því að ekki,er að dyljast,að ófriður er og mun vera konungur sjálfur . »,231502,88,Heimskringla,4610,|Örnólfur Thorsson|Bergljót Kristjánsdóttir|Bragi Halldórsson|Jón Torfason|,Mál og menning,14055,Heimskringla,1991,
Grettis saga Ásmundarsonar,7121,Grettir segir : « Illt,er að eggja,óbilgjarnan . »,61205,14,Grettis saga Ásmundarsonar,1498,|Örnólfur Thorsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,4386,Íslendingasögur I,1985,
Íslendinga þættir,52991,Stórólfur mælti þá : « Illt,er að eggja,"ofstopamennina , og er það auðséð að þú munt ófyrirleitinn verða . »",110609,1,Íslendinga þættir,3256,|Örnólfur Thorsson|Bragi Halldórsson|Jón Torfason|Sverrir Tómasson|,Svart á hvítu,6749,Íslendingasögur II,1986,
