"textid","year","genre","num_instances","relative_frequency"
"arin",1920,"rel",15,1.30548302872063
"fimmbraedra",1790,"nar",1,0.0624219725343321
"fossar",1902,"nar",10,0.602772754671489
"grimur",1888,"nar",7,1.12
"hugvekjur",1859,"rel",1,0.0900900900900901
"illugi",1650,"nar",1,0.0518403317781234
"indiafari",1661,"bio",7,0.504322766570605
"jartein",1210,"rel",1,0.121506682867558
"jonsteingrims",1791,"bio",7,0.461133069828722
"klim",1745,"nar",1,0.11441647597254
"leysing",1907,"nar",12,0.788954635108481
"mamma",2008,"nar",33,1.78861788617886
"margsaga",1985,"nar",34,1.9941348973607
"modars",1675,"nar",1,0.268096514745308
"ntacts",1540,"rel",3,0.253592561284869
"ofsi",2008,"nar",40,3.30578512396694
"ofurefli",1908,"nar",15,0.860585197934595
"okur",1611,"rel",1,0.158982511923688
"olafuregils",1628,"bio",1,0.11037527593819
"orrusta",1861,"nar",4,0.221729490022173
"piltur",1850,"nar",3,0.208333333333333
"pislarsaga",1659,"bio",1,0.308641975308642
"sagan",1985,"nar",25,1.23092072870507
"torfhildur",1882,"nar",4,0.2
"vordraumur",1888,"nar",18,2.37154150197628
