"textid","year","genre","num_instances"
"arin",1920,"rel",15
"fimmbraedra",1790,"nar",1
"fossar",1902,"nar",10
"grimur",1888,"nar",7
"hugvekjur",1859,"rel",1
"illugi",1650,"nar",1
"indiafari",1661,"bio",7
"jartein",1210,"rel",1
"jonsteingrims",1791,"bio",7
"klim",1745,"nar",1
"leysing",1907,"nar",12
"mamma",2008,"nar",33
"margsaga",1985,"nar",34
"modars",1675,"nar",1
"ntacts",1540,"rel",3
"ofsi",2008,"nar",40
"ofurefli",1908,"nar",15
"okur",1611,"rel",1
"olafuregils",1628,"bio",1
"orrusta",1861,"nar",4
"piltur",1850,"nar",3
"pislarsaga",1659,"bio",1
"sagan",1985,"nar",25
"torfhildur",1882,"nar",4
"vordraumur",1888,"nar",18
