"text","year","t.T","total_rT","relative_frequency","Genre"
"armann",1675,1018,8,7.85854616895874,"nar"
"biskupasogur",1725,1105,35,31.6742081447964,"nar"
"eintal",1593,1552,40,25.7731958762887,"rel"
"fimmbraedra",1790,1603,21,13.1004366812227,"nar"
"gerhard",1630,701,25,35.6633380884451,"rel"
"grimur",1888,625,24,38.4,"nar"
"hellismenn",1830,1411,9,6.37845499645641,"nar"
"hugvekjur",1859,1107,56,50.5871725383921,"rel"
"illugi",1650,1929,20,10.3680663556247,"nar"
"indiafari",1661,1388,81,58.35734870317,"bio"
"jonasedli",1835,163,9,55.2147239263804,"sci"
"jonsteingrims",1791,1518,110,72.463768115942,"bio"
"klim",1745,874,94,107.551487414188,"nar"
"magnus",1675,204,6,29.4117647058824,"bio"
"modars",1675,373,6,16.0857908847185,"nar"
"ntacts",1540,1185,36,30.379746835443,"rel"
"ntjohn",1540,1685,56,33.2344213649852,"rel"
"okur",1611,629,28,44.5151033386327,"rel"
"olafuregils",1628,906,65,71.7439293598234,"bio"
"orrusta",1861,1804,12,6.65188470066519,"nar"
"piltur",1850,1440,30,20.8333333333333,"nar"
"pislarsaga",1659,324,41,126.543209876543,"bio"
"skalholt",1680,870,33,37.9310344827586,"nar"
"torfhildur",1882,2000,25,12.5,"nar"
"vidalin",1720,1112,73,65.6474820143885,"rel"
"voggur",1883,130,8,61.5384615384615,"nar"
"vordraumur",1888,759,41,54.0184453227931,"nar"
