"source","hits","tokens","total","year","textid","genre","form","hits_data1","hits_data2","total_hits","proportion_data1","proportion_data2","simplified_genre"
"1150.firstgrammar.sci-lin.psd",7,7,182,1150,"firstgrammar","sci-lin",0,7,0,7,1,0,"sci"
"1150.homiliubok.rel-ser.psd",105,105,2108,1150,"homiliubok","rel-ser",0,105,0,105,1,0,"rel"
"1210.jartein.rel-sag.psd",15,15,823,1210,"jartein","rel-sag",0,15,0,15,1,0,"rel"
"1210.thorlakur.rel-sag.psd",25,25,540,1210,"thorlakur","rel-sag",0,25,2,27,0.925925925925926,0.0740740740740741,"rel"
"1250.sturlunga.nar-sag.psd",46,46,2225,1250,"sturlunga","nar-sag",0,46,0,46,1,0,"nar"
"1260.jomsvikingar.nar-sag.psd",38,38,1532,1260,"jomsvikingar","nar-sag",0,38,1,39,0.974358974358974,0.0256410256410257,"nar"
"1270.gragas.law-law.psd",7,7,346,1270,"gragas","law-law",0,7,0,7,1,0,"law"
"1275.morkin.nar-his.psd",15,15,2190,1275,"morkin","nar-his",0,15,0,15,1,0,"nar"
"1300.alexander.nar-sag.psd",29,29,1383,1300,"alexander","nar-sag",0,29,0,29,1,0,"nar"
"1310.grettir.nar-sag.psd",13,13,2057,1310,"grettir","nar-sag",0,13,14,27,0.481481481481481,0.518518518518519,"nar"
"1325.arni.nar-sag.psd",25,25,1125,1325,"arni","nar-sag",0,25,9,34,0.735294117647059,0.264705882352941,"nar"
"1350.bandamennM.nar-sag.psd",3,3,1223,1350,"bandamennM","nar-sag",0,3,1,4,0.75,0.25,"nar"
"1350.finnbogi.nar-sag.psd",19,19,2342,1350,"finnbogi","nar-sag",0,19,8,27,0.703703703703704,0.296296296296296,"nar"
"1350.marta.rel-sag.psd",48,48,977,1350,"marta","rel-sag",0,48,0,48,1,0,"rel"
"1400.gunnar.nar-sag.psd",2,2,935,1400,"gunnar","nar-sag",0,2,0,2,1,0,"nar"
"1400.gunnar2.nar-sag.psd",1,1,340,1400,"gunnar2","nar-sag",0,1,3,4,0.25,0.75,"nar"
"1400.viglundur.nar-sag.psd",4,4,1290,1400,"viglundur","nar-sag",0,4,1,5,0.8,0.2,"nar"
"1450.ectorssaga.nar-sag.psd",5,5,1950,1450,"ectorssaga","nar-sag",0,5,5,10,0.5,0.5,"nar"
"1450.judit.rel-bib.psd",7,7,491,1450,"judit","rel-bib",0,7,0,7,1,0,"rel"
"1450.vilhjalmur.nar-sag.psd",13,13,2414,1450,"vilhjalmur","nar-sag",0,13,4,17,0.764705882352941,0.235294117647059,"nar"
"1475.aevintyri.nar-rel.psd",7,7,1201,1475,"aevintyri","nar-rel",0,7,7,14,0.5,0.5,"nar"
"1480.jarlmann.nar-sag.psd",5,5,1282,1480,"jarlmann","nar-sag",0,5,1,6,0.833333333333333,0.166666666666667,"nar"
"1525.erasmus.nar-sag.psd",17,17,462,1525,"erasmus","nar-sag",0,17,0,17,1,0,"nar"
"1525.georgius.nar-rel.psd",23,23,1060,1525,"georgius","nar-rel",0,23,1,24,0.958333333333333,0.0416666666666666,"nar"
"1540.ntacts.rel-bib.psd",38,38,1183,1540,"ntacts","rel-bib",0,38,0,38,1,0,"rel"
"1540.ntjohn.rel-bib.psd",56,56,1685,1540,"ntjohn","rel-bib",0,56,0,56,1,0,"rel"
"1593.eintal.rel-oth.psd",37,37,1553,1593,"eintal","rel-oth",0,37,3,40,0.925,0.075,"rel"
"1611.okur.rel-oth.psd",18,18,629,1611,"okur","rel-oth",0,18,5,23,0.782608695652174,0.217391304347826,"rel"
"1628.olafuregils.bio-tra.psd",45,45,906,1628,"olafuregils","bio-tra",0,45,0,45,1,0,"bio"
"1630.gerhard.rel-oth.psd",6,6,701,1630,"gerhard","rel-oth",0,6,13,19,0.315789473684211,0.684210526315789,"rel"
"1650.illugi.nar-sag.psd",8,8,1929,1650,"illugi","nar-sag",0,8,9,17,0.470588235294118,0.529411764705882,"nar"
"1659.pislarsaga.bio-aut.psd",12,12,324,1659,"pislarsaga","bio-aut",0,12,18,30,0.4,0.6,"bio"
"1661.indiafari.bio-tra.psd",10,10,1388,1661,"indiafari","bio-tra",0,10,11,21,0.476190476190476,0.523809523809524,"bio"
